cart id,customer id,product id
1,441,632
2,466,655
3,607,489
4,430,1188
5,973,4
6,73,645
7,904,1361
8,810,254
9,248,420
10,57,1449
11,271,823
12,386,135
13,364,227
14,373,231
15,221,526
16,408,686
17,357,1032
18,498,357
19,82,653
20,811,720
21,32,1500
22,608,333
23,827,855
24,336,227
25,190,865
26,980,5
27,758,438
28,460,868
29,446,945
30,24,1173
31,186,1468
32,597,585
33,161,375
34,210,260
35,137,77
36,130,687
37,538,733
38,458,1201
39,725,591
40,220,700
41,405,866
42,882,1395
43,274,754
44,143,1095
45,350,896
46,5,940
47,367,485
48,326,1107
49,465,249
50,562,272
51,393,558
52,832,829
53,688,972
54,704,789
55,431,1474
56,674,1377
57,98,476
58,295,159
59,647,1257
60,87,522
61,213,1158
62,992,1388
63,718,585
64,897,1397
65,980,163
66,164,480
67,35,576
68,360,63
69,670,560
70,572,464
71,170,226
72,238,1060
73,42,254
74,551,1331
75,164,203
76,610,206
77,140,422
78,359,909
79,493,685
80,126,529
81,308,954
82,366,258
83,85,10
84,364,200
85,602,560
86,516,574
87,906,213
88,998,123
89,256,685
90,104,387
91,102,1463
92,8,511
93,901,850
94,384,397
95,421,1383
96,859,1422
97,931,246
98,230,1274
99,177,938
100,343,707
101,287,983
102,173,525
103,149,41
104,44,939
105,104,591
106,378,126
107,771,379
108,751,666
109,508,1060
110,413,1152
111,936,861
112,540,162
113,420,746
114,106,586
115,607,1144
116,737,1154
117,840,510
118,904,909
119,389,738
120,731,1204
121,185,452
122,700,929
123,724,1297
124,319,70
125,703,875
126,13,209
127,852,1431
128,691,1195
129,382,664
130,640,962
131,772,917
132,221,753
133,680,960
134,755,172
135,113,577
136,378,931
137,292,648
138,810,345
139,172,763
140,99,749
141,725,391
142,49,361
143,336,481
144,952,155
145,436,112
146,956,1276
147,785,1146
148,21,209
149,766,108
150,530,1323
151,641,529
152,778,627
153,732,757
154,374,46
155,382,796
156,441,985
157,702,763
158,717,952
159,495,738
160,992,912
161,255,1406
162,176,1293
163,504,218
164,531,8
165,60,898
166,472,318
167,615,332
168,454,928
169,133,1306
170,414,18
171,336,967
172,3,1031
173,802,908
174,872,627
175,974,1083
176,237,1332
177,660,1225
178,132,1364
179,798,539
180,767,798
181,290,163
182,183,643
183,987,384
184,860,148
185,777,775
186,286,534
187,637,629
188,476,1083
189,722,164
190,144,324
191,275,1161
192,602,956
193,817,1301
194,513,914
195,307,1152
196,129,125
197,179,1257
198,515,189
199,624,809
200,128,838
201,983,702
202,131,1340
203,97,775
204,356,97
205,295,540
206,413,610
207,5,118
208,67,561
209,522,122
210,691,39
211,899,51
212,36,373
213,177,1337
214,310,948
215,659,1186
216,547,782
217,924,925
218,216,1409
219,187,94
220,972,830
221,903,859
222,719,721
223,942,727
224,778,373
225,724,598
226,783,31
227,422,90
228,18,1288
229,393,1332
230,633,86
231,322,736
232,481,794
233,537,483
234,518,725
235,213,1092
236,556,1247
237,30,688
238,609,1419
239,317,1493
240,681,765
241,785,324
242,651,1077
243,752,91
244,650,1095
245,35,1214
246,386,44
247,356,1284
248,577,512
249,748,686
250,589,236
251,263,831
252,960,1278
253,385,1414
254,777,1275
255,444,524
256,468,1273
257,135,1065
258,337,864
259,78,1229
260,665,67
261,211,199
262,813,169
263,445,530
264,76,1243
265,925,993
266,185,1467
267,694,269
268,93,1117
269,169,1490
270,912,680
271,927,356
272,944,361
273,555,966
274,168,750
275,973,381
276,256,926
277,777,982
278,716,1236
279,958,783
280,269,911
281,27,1115
282,708,343
283,212,944
284,988,253
285,165,929
286,900,335
287,298,694
288,389,224
289,604,807
290,267,627
291,737,297
292,260,1337
293,406,813
294,319,358
295,172,1110
296,789,353
297,128,1236
298,334,388
299,475,719
300,440,165
301,317,286
302,225,97
303,978,826
304,719,1246
305,824,1406
306,204,47
307,678,291
308,231,769
309,176,1404
310,931,121
311,737,1108
312,831,165
313,634,534
314,134,368
315,150,1462
316,577,1316
317,154,1027
318,692,966
319,961,571
320,939,651
321,335,1269
322,10,590
323,372,1492
324,133,769
325,875,142
326,308,335
327,276,1157
328,484,656
329,864,915
330,553,584
331,435,1298
332,361,829
333,907,15
334,296,477
335,870,686
336,214,1024
337,678,1420
338,981,1095
339,613,1488
340,232,1167
341,835,523
342,928,631
343,789,640
344,329,1162
345,399,895
346,60,21
347,668,578
348,895,53
349,973,1496
350,624,752
351,49,1339
352,616,1403
353,756,593
354,589,65
